iter	Passed	Remaining
0	307	61236
1	415	41102
2	524	34417
3	633	31063
4	740	28878
5	846	27355
6	952	26272
7	1048	25156
8	1153	24472
9	1256	23865
10	1352	23230
11	1460	22886
12	1643	23643
13	1783	23701
14	1884	23237
15	1986	22846
16	2085	22452
17	2160	21850
18	2245	21388
19	2326	20938
20	2411	20551
21	2491	20157
22	2575	19816
23	2664	19542
24	2746	19227
25	2825	18906
26	2912	18662
27	3013	18512
28	3111	18347
29	3206	18168
30	3300	17991
31	3395	17827
32	3491	17671
33	3590	17532
34	3698	17433
35	3797	17300
36	3902	17191
37	4020	17138
38	4122	17020
39	4221	16885
40	4326	16778
41	4435	16685
42	4542	16584
43	4634	16432
44	4735	16312
45	4838	16198
46	4947	16104
47	5044	15973
48	5153	15881
49	5254	15764
50	5355	15646
51	5458	15534
52	5583	15487
53	5698	15408
54	5818	15340
55	5918	15218
56	6024	15113
57	6125	14996
58	6221	14867
59	6331	14774
60	6434	14662
61	6528	14530
62	6619	14395
63	6720	14280
64	6823	14172
65	7015	14243
66	7141	14175
67	7247	14068
68	7350	13955
69	7449	13834
70	7555	13728
71	7656	13611
72	7750	13484
73	7852	13370
74	7944	13241
75	8033	13107
76	8111	12956
77	8191	12812
78	8273	12672
79	8356	12535
80	8432	12388
81	8521	12262
82	8609	12135
83	8696	12009
84	8795	11899
85	8885	11778
86	8982	11666
87	9085	11563
88	9180	11449
89	9277	11339
90	9386	11243
91	9485	11135
92	9591	11034
93	9689	10926
94	9793	10824
95	9894	10718
96	9990	10608
97	10087	10499
98	10188	10394
99	10288	10288
100	10387	10181
101	10488	10076
102	10583	9966
103	10695	9872
104	10799	9770
105	10904	9670
106	11000	9561
107	11099	9454
108	11202	9352
109	11321	9263
110	11421	9158
111	11519	9050
112	11622	8947
113	11714	8837
114	11810	8729
115	11919	8631
116	12013	8522
117	12119	8421
118	12218	8316
119	12311	8207
120	12408	8101
121	12512	8000
122	12760	7988
123	12864	7884
124	12958	7774
125	13052	7665
126	13155	7561
127	13261	7459
128	13362	7354
129	13461	7248
130	13557	7141
131	13667	7040
132	13754	6929
133	13832	6812
134	13912	6698
135	14002	6589
136	14077	6473
137	14149	6357
138	14230	6244
139	14303	6130
140	14377	6016
141	14465	5908
142	14545	5797
143	14626	5687
144	14712	5580
145	14798	5473
146	14894	5370
147	14988	5266
148	15076	5160
149	15176	5058
150	15269	4954
151	15356	4849
152	15442	4743
153	15536	4640
154	15628	4537
155	15719	4433
156	15816	4331
157	15900	4226
158	15984	4121
159	16084	4021
160	16167	3916
161	16283	3819
162	16379	3718
163	16464	3614
164	16555	3511
165	16657	3411
166	16760	3312
167	16859	3211
168	16952	3109
169	17049	3008
170	17149	2908
171	17251	2808
172	17343	2706
173	17431	2604
174	17513	2501
175	17602	2400
176	17709	2301
177	17795	2199
178	17886	2098
179	17972	1996
180	18065	1896
181	18158	1795
182	18251	1695
183	18340	1594
184	18434	1494
185	18528	1394
186	18627	1294
187	18726	1195
188	18814	1095
189	18916	995
190	18993	894
191	19173	798
192	19270	698
193	19347	598
194	19435	498
195	19515	398
196	19585	298
197	19670	198
198	19775	99
199	19899	0
